taxon	Feature ID	Taxon
Caranx melampygus	NC_004406.1	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx melampygus;NA
Caranx sexfasciatus	LC604983.2	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx sexfasciatus;NA
Caranx sexfasciatus	MH248172.1	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx sexfasciatus;NA
Carassius auratus x Cyprinus carpio	NC_006136.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;Carassius auratus x Cyprinus carpio;NA
Carassius auratus x Cyprinus carpio x Carassius cuvieri	NC_006387.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;NA;NA;Carassius auratus x Cyprinus carpio x Carassius cuvieri;NA
Carassius carassius	JQ911695.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Carassius;Carassius carassius;NA
Carassius carassius	NC_006291.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Carassius;Carassius carassius;NA
Carcharhinus acronotus	NC_024055.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus acronotus;NA
Carcharhinus acronotus	OP154142.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus acronotus;NA
Carcharhinus albimarginatus	NC_047239.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus albimarginatus;NA
Carcharhinus amblyrhynchos	NC_047238.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus amblyrhynchos;NA
Carcharhinus brachyurus	MT995631.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus brachyurus;NA
Carcharhinus brevipinna	NC_027081.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus brevipinna;NA
Carcharhinus falciformis	KF801102.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus falciformis;NA
Carcharhinus falciformis	NC_042256.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus falciformis;NA
Carcharhinus leucas	NC_023522.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus leucas;NA
Carcharhinus leucas	OP006884.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus leucas;NA
Carcharhinus leucas	OP154165.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus leucas;NA
Carcharhinus limbatus	MH248235.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus limbatus;NA
Carcharhinus limbatus	OP056803.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus limbatus;NA
Carcharhinus longimanus	NC_025520.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus longimanus;NA
Carcharhinus melanopterus	NC_024284.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus melanopterus;NA
Carcharhinus obscurus	NC_020611.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus obscurus;NA
Carcharhinus perezii	MW528216.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus perezii;NA
Carcharhinus plumbeus	NC_024596.1	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus plumbeus;NA
Carcharodon carcharias	AF447989.1	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias;NA
Carcharodon carcharias	NC_022415.1	Eukaryota;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Carcharodon;Carcharodon carcharias;NA
Carinotetraodon lorteti	AP011918.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Carinotetraodon;Carinotetraodon lorteti;NA
Carinotetraodon salivator	AP011919.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Carinotetraodon;Carinotetraodon salivator;NA
