taxon	Feature ID	Taxon
Tagetes patula	AH007134.2	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tagetes;Tagetes patula;NA;NA;NA
Talinum fruticosum	NC_067064.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Talinaceae;Talinum;Talinum fruticosum;NA;NA;NA
Talinum paniculatum	NC_037748.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Talinaceae;Talinum;Talinum paniculatum;NA;NA;NA
Talinum portulacifolium	KM261958.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Talinaceae;Talinum;Talinum portulacifolium;NA;NA;NA
Talipariti tiliaceum	AB817483.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Talipariti;Talipariti tiliaceum;NA;NA;NA
Tamarindus indica	NC_026685.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Tamarindus;Tamarindus indica;NA;NA;NA
Tanacetum parthenium	NC_066023.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tanacetum;Tanacetum parthenium;NA;NA;NA
Tanacetum vulgare	NC_066029.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tanacetum;Tanacetum vulgare;NA;NA;NA
Taraxacum officinale	HM590352.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Taraxacum;Taraxacum officinale;NA;NA;NA
Taraxacum officinale	KX984963.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Taraxacum;Taraxacum officinale;NA;NA;NA
Taraxacum officinale	NC_030772.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Taraxacum;Taraxacum officinale;NA;NA;NA
Tasmannia insipida	AY004144.1	Eukaryota;Streptophyta;Magnoliopsida;Canellales;Winteraceae;Tasmannia;Tasmannia insipida;NA;NA;NA
Tasmannia lanceolata	NC_050986.1	Eukaryota;Streptophyta;Magnoliopsida;Canellales;Winteraceae;Tasmannia;Tasmannia lanceolata;NA;NA;NA
Telosma cordata	AF102493.2	Eukaryota;Streptophyta;Magnoliopsida;Gentianales;Apocynaceae;Telosma;Telosma cordata;NA;NA;NA
Terminalia catappa	AB817424.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Combretaceae;Terminalia;Terminalia catappa;NA;NA;NA
Terminalia catappa	MH547575.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Combretaceae;Terminalia;Terminalia catappa;NA;NA;NA
Terminalia catappa	NC_053323.1	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Combretaceae;Terminalia;Terminalia catappa;NA;NA;NA
Tetragonia tetragonoides	NC_036991.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Aizoaceae;Tetragonia;Tetragonia tetragonoides;NA;NA;NA
Thaumatococcus daniellii	EU647826.1	Eukaryota;Streptophyta;Magnoliopsida;Zingiberales;Marantaceae;Thaumatococcus;Thaumatococcus daniellii;NA;NA;NA
Theobroma cacao	NC_014676.2	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Theobroma;Theobroma cacao;NA;NA;NA
Theobroma grandiflorum	NC_054233.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Theobroma;Theobroma grandiflorum;NA;NA;NA
Thymus vulgaris	AY506613.1	Eukaryota;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Thymus;Thymus vulgaris;NA;NA;NA
Trachyspermum ammi	NC_047246.1	Eukaryota;Streptophyta;Magnoliopsida;Apiales;Apiaceae;Trachyspermum;Trachyspermum ammi;NA;NA;NA
